"Oppiaste","Sukupuoli","Kohtalainen tai vaikea ahdistuneisuus, % 2013","Kohtalainen tai vaikea ahdistuneisuus, % 2017","Kohtalainen tai vaikea ahdistuneisuus, % 2019","Kohtalainen tai vaikea ahdistuneisuus, % 2021","Kohtalainen tai vaikea ahdistuneisuus, % 2023","V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu, % 2013","V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu, % 2017","V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu, % 2019","V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu, % 2021","V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu, % 2023","Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰, % 2013","Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰, % 2017","Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰, % 2019","Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰, % 2021","Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰, % 2023","Mielialaan liittyvi‰ ongelmia, % 2013","Mielialaan liittyvi‰ ongelmia, % 2017","Mielialaan liittyvi‰ ongelmia, % 2019","Mielialaan liittyvi‰ ongelmia, % 2021","Mielialaan liittyvi‰ ongelmia, % 2023"
"Perusopetus 4. ja 5. lk","Yhteens‰",..,..,..,..,..,..,..,..,..,..,.,91.0,89.4,84.4,86.2,.,13.6,16.0,23.2,23.7
"Perusopetus 4. ja 5. lk","Miehet",..,..,..,..,..,..,..,..,..,..,.,92.6,91.4,88.2,89.9,.,12.9,14.0,19.8,20.1
"Perusopetus 4. ja 5. lk","Naiset",..,..,..,..,..,..,..,..,..,..,.,89.4,87.4,81.0,82.7,.,14.1,17.7,26.4,27.4
"Perusopetus 8. ja 9. lk","Yhteens‰",11.0,13.7,15.7,21.8,22.5,.,17.4,19.0,26.2,25.7,.,73.7,73.7,65.0,66.2,..,..,..,..,..
"Perusopetus 8. ja 9. lk","Miehet",7.0,6.4,7.5,9.0,8.8,.,10.0,11.9,14.9,14.8,.,83.5,83.1,79.1,77.4,..,..,..,..,..
"Perusopetus 8. ja 9. lk","Naiset",16.0,20.3,23.0,33.4,35.0,.,24.0,25.4,36.5,35.5,.,65.2,65.5,52.8,56.6,..,..,..,..,..
"Lukio 1. ja 2. vuosi","Yhteens‰",10.0,14.4,17.2,25.1,24.4,.,17.8,21.5,28.6,26.9,.,73.7,72.2,65.3,64.8,..,..,..,..,..
"Lukio 1. ja 2. vuosi","Miehet",5.0,6.0,7.5,9.5,9.0,.,12.2,14.6,16.9,15.5,.,79.9,80.1,77.1,74.0,..,..,..,..,..
"Lukio 1. ja 2. vuosi","Naiset",14.0,20.5,23.9,35.3,34.8,.,21.6,26.1,36.3,34.6,.,69.2,66.8,57.6,58.6,..,..,..,..,..
"Ammatillinen oppilaitos","Yhteens‰",15.0,13.3,12.9,21.2,23.5,.,14.0,17.7,24.4,28.1,.,75.6,74.8,61.3,55.8,..,..,..,..,..
"Ammatillinen oppilaitos","Miehet",8.0,4.9,6.6,9.5,9.9,.,6.3,10.6,14.4,15.7,.,83.1,82.4,72.2,66.2,..,..,..,..,..
"Ammatillinen oppilaitos","Naiset",22.0,22.9,20.9,32.6,41.0,.,22.0,26.7,34.2,43.8,.,68.0,65.8,50.7,43.2,..,..,..,..,..
