"Vuosi","Perhetilanne","Prosenttia","Alin 95 %","Ylin 95 %"
"2013-2015","Kaikki 20-54-vuotiaat",27.5,26.2,28.8
"2013-2015","Ei alle 18-vuotiaita lapsia",26.3,24.8,27.9
"2013-2015","Alle 18-vuotiaita lapsia",30.1,27.9,32.4
"2013-2015","Alle 18-vuotiaita lapsia, mies",32.6,28.9,36.3
"2013-2015","Alle 18-vuotiaita lapsia, nainen",28.0,25.2,30.8
"2013-2015","Yksinhuoltajat",26.3,20.6,32.1
"2013-2015","Muut lapsiperheet",30.8,28.3,33.2
"2013-2015","7-17-vuotiaita lapsia",32.4,29.4,35.3
"2013-2015","3-6-vuotiaita lapsia",29.3,25.4,33.2
"2013-2015","Alle 3-vuotiaita lapsia",27.7,23.8,31.6
"2017-2018","Kaikki 20-54-vuotiaat",28.4,26.0,30.8
"2017-2018","Ei alle 18-vuotiaita lapsia",28.4,26.0,30.8
"2017-2018","Alle 18-vuotiaita lapsia",28.1,25.1,31.1
"2017-2018","Alle 18-vuotiaita lapsia, mies",28.7,24.1,33.4
"2017-2018","Alle 18-vuotiaita lapsia, nainen",27.5,23.7,31.3
"2017-2018","Yksinhuoltajat",..,..,..
"2017-2018","Muut lapsiperheet",..,..,..
"2017-2018","7-17-vuotiaita lapsia",..,..,..
"2017-2018","3-6-vuotiaita lapsia",..,..,..
"2017-2018","Alle 3-vuotiaita lapsia",..,..,..
