"Oppiaste","Sukupuoli","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2006","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2008","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2010","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2013","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2017","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2019","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2021","Koulukiusattuna v‰hint‰‰n kerran viikossa, % 2023"
"Perusopetus 4. ja 5. lk","Yhteens‰",.,.,.,.,7.3,7.2,8.4,9.8
"Perusopetus 4. ja 5. lk","Miehet",.,.,.,.,8.1,7.8,8.2,9.2
"Perusopetus 4. ja 5. lk","Naiset",.,.,.,.,6.4,6.5,8.5,10.3
"Perusopetus 8. ja 9. lk","Yhteens‰",6.5,8.8,6.2,6.1,5.5,5.2,5.4,7.9
"Perusopetus 8. ja 9. lk","Miehet",8.3,10.7,7.9,7.5,6.8,6.2,5.8,9.3
"Perusopetus 8. ja 9. lk","Naiset",4.6,6.9,4.7,4.7,4.1,4.1,4.9,6.5
"Lukio 1. ja 2. vuosi","Yhteens‰",1.5,1.3,1.3,0.9,1.3,1.1,1.3,2.2
"Lukio 1. ja 2. vuosi","Miehet",2.3,2.0,2.0,1.3,1.9,1.7,1.8,3.0
"Lukio 1. ja 2. vuosi","Naiset",0.9,0.8,0.8,0.6,0.8,0.7,1.0,1.5
"Ammatillinen oppilaitos","Yhteens‰",.,4.5,5.3,3.9,2.9,1.9,2.2,5.0
"Ammatillinen oppilaitos","Miehet",.,6.2,7.5,4.9,3.5,1.7,1.6,5.1
"Ammatillinen oppilaitos","Naiset",.,2.7,2.5,2.8,2.2,2.2,2.8,5.0
