"Indikaattori","Koulutus","Sukupuoli","2013","2017","2019","2021","2023"
"Kohtalainen tai vaikea ahdistuneisuus","Perusopetus 8. ja 9. lk","Yhteens‰",11.0,13.7,15.7,21.8,22.5
"Kohtalainen tai vaikea ahdistuneisuus","Perusopetus 8. ja 9. lk","Miehet",7.0,6.4,7.5,9.0,8.8
"Kohtalainen tai vaikea ahdistuneisuus","Perusopetus 8. ja 9. lk","Naiset",16.0,20.3,23.0,33.4,35.0
"Kohtalainen tai vaikea ahdistuneisuus","Lukio 1. ja 2. vuosi","Yhteens‰",10.0,14.4,17.2,25.1,24.4
"Kohtalainen tai vaikea ahdistuneisuus","Lukio 1. ja 2. vuosi","Miehet",5.0,6.0,7.5,9.5,9.0
"Kohtalainen tai vaikea ahdistuneisuus","Lukio 1. ja 2. vuosi","Naiset",14.0,20.5,23.9,35.3,34.8
"Kohtalainen tai vaikea ahdistuneisuus","Ammatillinen oppilaitos","Yhteens‰",15.0,13.3,12.9,21.2,23.5
"Kohtalainen tai vaikea ahdistuneisuus","Ammatillinen oppilaitos","Miehet",8.0,4.9,6.6,9.5,9.9
"Kohtalainen tai vaikea ahdistuneisuus","Ammatillinen oppilaitos","Naiset",22.0,22.9,20.9,32.6,41.0
"Kohtalainen tai vaikea ahdistuneisuus","Perusopetus 4. ja 5. lk","Yhteens‰",..,..,..,..,..
"Kohtalainen tai vaikea ahdistuneisuus","Perusopetus 4. ja 5. lk","Miehet",..,..,..,..,..
"Kohtalainen tai vaikea ahdistuneisuus","Perusopetus 4. ja 5. lk","Naiset",..,..,..,..,..
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Perusopetus 8. ja 9. lk","Yhteens‰",.,17.4,19.0,26.2,25.7
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Perusopetus 8. ja 9. lk","Miehet",.,10.0,11.9,14.9,14.8
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Perusopetus 8. ja 9. lk","Naiset",.,24.0,25.4,36.5,35.5
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Lukio 1. ja 2. vuosi","Yhteens‰",.,17.8,21.5,28.6,26.9
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Lukio 1. ja 2. vuosi","Miehet",.,12.2,14.6,16.9,15.5
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Lukio 1. ja 2. vuosi","Naiset",.,21.6,26.1,36.3,34.6
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Ammatillinen oppilaitos","Yhteens‰",.,14.0,17.7,24.4,28.1
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Ammatillinen oppilaitos","Miehet",.,6.3,10.6,14.4,15.7
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Ammatillinen oppilaitos","Naiset",.,22.0,26.7,34.2,43.8
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Perusopetus 4. ja 5. lk","Yhteens‰",..,..,..,..,..
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Perusopetus 4. ja 5. lk","Miehet",..,..,..,..,..
"V‰hint‰‰n kaksi viikkoa kest‰nyt masennusoireilu","Perusopetus 4. ja 5. lk","Naiset",..,..,..,..,..
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Perusopetus 8. ja 9. lk","Yhteens‰",.,73.7,73.7,65.0,66.2
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Perusopetus 8. ja 9. lk","Miehet",.,83.5,83.1,79.1,77.4
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Perusopetus 8. ja 9. lk","Naiset",.,65.2,65.5,52.8,56.6
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Lukio 1. ja 2. vuosi","Yhteens‰",.,73.7,72.2,65.3,64.8
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Lukio 1. ja 2. vuosi","Miehet",.,79.9,80.1,77.1,74.0
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Lukio 1. ja 2. vuosi","Naiset",.,69.2,66.8,57.6,58.6
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Ammatillinen oppilaitos","Yhteens‰",.,75.6,74.8,61.3,55.8
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Ammatillinen oppilaitos","Miehet",.,83.1,82.4,72.2,66.2
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Ammatillinen oppilaitos","Naiset",.,68.0,65.8,50.7,43.2
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Perusopetus 4. ja 5. lk","Yhteens‰",.,91.0,89.4,84.4,86.2
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Perusopetus 4. ja 5. lk","Miehet",.,92.6,91.4,88.2,89.9
"Tyytyv‰inen el‰m‰‰ns‰ t‰ll‰ hetkell‰","Perusopetus 4. ja 5. lk","Naiset",.,89.4,87.4,81.0,82.7
"Mielialaan liittyvi‰ ongelmia","Perusopetus 8. ja 9. lk","Yhteens‰",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Perusopetus 8. ja 9. lk","Miehet",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Perusopetus 8. ja 9. lk","Naiset",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Lukio 1. ja 2. vuosi","Yhteens‰",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Lukio 1. ja 2. vuosi","Miehet",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Lukio 1. ja 2. vuosi","Naiset",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Ammatillinen oppilaitos","Yhteens‰",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Ammatillinen oppilaitos","Miehet",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Ammatillinen oppilaitos","Naiset",..,..,..,..,..
"Mielialaan liittyvi‰ ongelmia","Perusopetus 4. ja 5. lk","Yhteens‰",.,13.6,16.0,23.2,23.7
"Mielialaan liittyvi‰ ongelmia","Perusopetus 4. ja 5. lk","Miehet",.,12.9,14.0,19.8,20.1
"Mielialaan liittyvi‰ ongelmia","Perusopetus 4. ja 5. lk","Naiset",.,14.1,17.7,26.4,27.4
