"Oppiaste","Sukupuoli","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2006","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2008","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2010","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2013","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2017","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2019","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2021","Käyttänyt jotain tupakkatuotetta tai sähkösavuketta vähintään kerran, % 2023","Päivittäin tupakoivat,  % 2006","Päivittäin tupakoivat,  % 2008","Päivittäin tupakoivat,  % 2010","Päivittäin tupakoivat,  % 2013","Päivittäin tupakoivat,  % 2017","Päivittäin tupakoivat,  % 2019","Päivittäin tupakoivat,  % 2021","Päivittäin tupakoivat,  % 2023","Kokeillut kannabista vähintään kaksi kertaa, % 2006","Kokeillut kannabista vähintään kaksi kertaa, % 2008","Kokeillut kannabista vähintään kaksi kertaa, % 2010","Kokeillut kannabista vähintään kaksi kertaa, % 2013","Kokeillut kannabista vähintään kaksi kertaa, % 2017","Kokeillut kannabista vähintään kaksi kertaa, % 2019","Kokeillut kannabista vähintään kaksi kertaa, % 2021","Kokeillut kannabista vähintään kaksi kertaa, % 2023","Nuuskaa päivittäin, % 2006","Nuuskaa päivittäin, % 2008","Nuuskaa päivittäin, % 2010","Nuuskaa päivittäin, % 2013","Nuuskaa päivittäin, % 2017","Nuuskaa päivittäin, % 2019","Nuuskaa päivittäin, % 2021","Nuuskaa päivittäin, % 2023","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2006","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2008","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2010","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2013","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2017","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2019","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2021","Ainakin 1-2 kertaa kuukaudessa tosi humalaan asti alkoholia käyttävät, % 2023","Raittius, % 2006","Raittius, % 2008","Raittius, % 2010","Raittius, % 2013","Raittius, % 2017","Raittius, % 2019","Raittius, % 2021","Raittius, % 2023"
"Perusopetus 4. ja 5. lk","Yhteensä",.,.,.,.,3.9,3.5,2.6,4.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perusopetus 4. ja 5. lk","Miehet",.,.,.,.,5.0,5.0,3.5,5.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perusopetus 4. ja 5. lk","Naiset",.,.,.,.,2.8,2.0,1.8,2.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perusopetus 8. ja 9. lk","Yhteensä",.,.,.,.,43.0,38.9,30.3,32.7,14.0,15.0,15.0,11.0,4.2,3.7,3.5,3.8,5.2,6.7,8.7,10.0,7.7,10.0,7.5,7.0,1.8,2.3,2.4,4.6,3.3,3.4,2.2,1.9,18.0,18.0,16.0,12.0,10.4,9.1,7.9,8.6,39.6,40.2,42.8,51.7,63.8,63.9,70.2,71.1
"Perusopetus 8. ja 9. lk","Miehet",.,.,.,.,50.2,44.7,31.8,33.3,14.0,15.0,16.0,11.0,4.6,3.6,3.9,4.6,6.3,8.2,11.0,12.4,10.9,12.8,8.3,8.5,3.3,4.2,4.5,8.7,6.0,5.5,3.7,3.2,19.0,19.0,16.0,12.0,11.4,9.7,7.5,9.6,41.2,41.6,44.1,52.1,62.7,63.0,72.4,71.3
"Perusopetus 8. ja 9. lk","Naiset",.,.,.,.,36.1,33.5,29.0,32.3,14.0,15.0,14.0,10.0,3.8,3.7,3.1,3.0,4.2,5.1,6.5,7.7,4.7,7.4,6.9,5.6,0.3,0.4,0.3,0.7,0.7,1.4,0.8,0.6,18.0,18.0,16.0,12.0,9.5,8.5,8.4,7.6,38.0,38.7,41.5,51.3,64.7,64.7,68.4,71.0
"Lukio 1. ja 2. vuosi","Yhteensä",..,..,..,..,..,..,..,..,13.0,13.0,14.0,9.0,3.7,3.5,3.1,3.9,11.3,11.6,17.6,16.0,15.1,18.4,16.5,15.8,1.6,2.2,3.1,4.6,5.1,3.5,2.2,2.0,30.0,30.0,30.0,23.0,24.4,22.3,18.2,19.3,17.8,19.6,18.4,25.1,32.9,32.5,36.8,38.1
"Lukio 1. ja 2. vuosi","Miehet",..,..,..,..,..,..,..,..,12.0,11.0,13.0,8.0,2.9,2.2,3.1,3.9,12.9,14.8,21.3,19.6,20.3,22.5,19.0,18.0,3.7,5.1,7.1,10.7,11.0,7.4,4.2,4.2,33.0,32.0,32.0,23.0,28.4,24.0,17.7,18.2,18.3,20.7,19.8,26.1,33.0,31.2,38.0,40.8
"Lukio 1. ja 2. vuosi","Naiset",..,..,..,..,..,..,..,..,13.0,14.0,15.0,10.0,4.3,4.3,3.1,4.0,10.2,9.3,15.0,13.4,11.3,15.7,14.8,14.2,0.1,0.1,0.3,0.1,0.8,0.8,0.8,0.6,26.0,28.0,28.0,21.0,21.7,21.2,18.6,20.1,17.5,18.8,17.5,24.4,32.4,33.4,35.9,36.1
"Ammatillinen oppilaitos","Yhteensä",..,..,..,..,..,..,..,..,.,38.0,41.0,34.0,17.8,13.6,11.1,10.6,.,20.6,26.9,25.5,22.5,25.6,20.5,18.0,.,2.8,3.4,5.7,11.7,12.4,7.0,6.1,.,44.0,41.0,36.0,26.8,26.4,19.3,17.9,.,13.8,13.5,18.0,29.5,30.2,40.3,45.7
