"Alue","Äidinkieli","Ikä","Sukupuoli","2000 Väestö 31.12.","2001 Väestö 31.12.","2002 Väestö 31.12.","2003 Väestö 31.12.","2004 Väestö 31.12.","2005 Väestö 31.12.","2008 Väestö 31.12.","2009 Väestö 31.12.","2010 Väestö 31.12.","2011 Väestö 31.12.","2012 Väestö 31.12.","2013 Väestö 31.12.","2014 Väestö 31.12.","2015 Väestö 31.12.","2016 Väestö 31.12.","2017 Väestö 31.12.","2018 Väestö 31.12.","2019 Väestö 31.12.","2020 Väestö 31.12.","2021 Väestö 31.12.","2022 Väestö 31.12.","2023 Väestö 31.12.","2006 Väestö 31.12.","2007 Väestö 31.12."
"091 Helsinki","Yhteensä","0-6-vuotiaat","Yhteensä",40306,39224,38311,37784,37199,36884,37971,39170,40064,41127,42224,43444,44552,45379,45807,46033,45799,45281,44722,44030,43187,42912,0,0
"091 Helsinki","Yhteensä","0-6-vuotiaat","Miehet",20503,20025,19594,19214,18996,18675,19437,19907,20400,20969,21592,22243,22819,23330,23623,23682,23466,23140,22825,22469,22085,22027,18715,0
"091 Helsinki","Yhteensä","0-6-vuotiaat","Naiset",19803,19199,18717,18570,18203,18209,18534,19263,19664,20158,20632,21201,21733,22049,22184,22351,22333,22141,21897,21561,21102,20885,18139,18031
"091 Helsinki","Yhteensä","7-12-vuotiaat","Yhteensä",33746,34062,33992,33457,32747,31745,29693,29410,29318,29506,30054,30680,31523,32684,33730,35149,36113,37098,37967,38439,38998,39357,0,0
"091 Helsinki","Yhteensä","7-12-vuotiaat","Miehet",17203,17365,17261,17133,16682,16236,15130,14951,14936,15060,15334,15678,16118,16643,17193,17915,18459,19007,19483,19687,20024,20173,15700,0
"091 Helsinki","Yhteensä","7-12-vuotiaat","Naiset",16543,16697,16731,16324,16065,15509,14563,14459,14382,14446,14720,15002,15405,16041,16537,17234,17654,18091,18484,18752,18974,19184,15112,14755
"091 Helsinki","Yhteensä","13-15-vuotiaat","Yhteensä",14755,15138,15864,16442,16798,17001,16743,16268,15840,15336,15128,15067,14927,14991,15069,15534,16140,16559,16920,17626,18220,19174,0,0
"091 Helsinki","Yhteensä","13-15-vuotiaat","Miehet",7601,7719,8116,8374,8603,8637,8541,8365,8075,7859,7618,7626,7523,7666,7666,7936,8169,8424,8606,8972,9225,9724,8699,0
"091 Helsinki","Yhteensä","13-15-vuotiaat","Naiset",7154,7419,7748,8068,8195,8364,8202,7903,7765,7477,7510,7441,7404,7325,7403,7598,7971,8135,8314,8654,8995,9450,8328,8240
"091 Helsinki","Yhteensä","0-17-vuotiaat","Yhteensä",99172,98778,98322,97830,97410,96794,96220,96590,96932,97545,98529,100023,101643,103530,71510,72200,72413,72652,72853,73092,73282,74411,0,0
"091 Helsinki","Yhteensä","0-17-vuotiaat","Miehet",50446,50289,50145,49880,49583,49187,49059,49148,49324,49706,50242,50998,51742,52833,36573,36924,36928,36965,36986,37113,37195,37953,48905,0
"091 Helsinki","Yhteensä","0-17-vuotiaat","Naiset",48726,48489,48177,47950,47827,47607,47161,47442,47608,47839,48287,49025,49901,50697,34937,35276,35485,35687,35867,35979,36087,36458,47207,46844
"091 Helsinki","Yhteensä","16-18-vuotiaat","Yhteensä",15880,15839,15510,15547,15824,16553,17921,17928,17852,17682,17239,16836,16233,16085,16049,16132,16097,16286,16665,17327,17861,18432,0,0
"091 Helsinki","Yhteensä","16-18-vuotiaat","Miehet",7887,7858,7758,7856,7889,8308,8943,8983,8952,8874,8709,8425,8132,7900,7968,7996,8045,8101,8285,8521,8810,9178,8556,0
"091 Helsinki","Yhteensä","16-18-vuotiaat","Naiset",7993,7981,7752,7691,7935,8245,8978,8945,8900,8808,8530,8411,8101,8185,8081,8136,8052,8185,8380,8806,9051,9254,8560,8735
"091 Helsinki","Yhteensä","15-19-vuotiaat","Yhteensä",6152,6468,6380,6182,6214,6041,24490,24443,24279,23907,23394,22835,22361,21995,27363,27250,27568,27866,28361,29315,30271,31374,0,0
"091 Helsinki","Yhteensä","15-19-vuotiaat","Miehet",2804,2973,2847,2777,2889,2803,12151,12010,11946,11878,11590,11281,10956,10855,13397,13441,13552,13721,13900,14385,14815,15473,2900,0
"091 Helsinki","Yhteensä","15-19-vuotiaat","Naiset",3348,3495,3533,3405,3325,3238,12339,12433,12333,12029,11804,11554,11405,11140,13966,13809,14016,14145,14461,14930,15456,15901,3603,3777
"091 Helsinki","Yhteensä","20-24-vuotiaat","Yhteensä",44632,44758,44304,44103,43746,44163,45419,45701,46486,47513,48827,48910,48796,48118,46903,45812,44113,42780,41809,41361,41717,42961,0,0
"091 Helsinki","Yhteensä","20-24-vuotiaat","Miehet",20727,20800,20367,20119,19933,20037,20578,20831,21216,21621,22220,22225,21941,21693,21236,20644,19767,19264,18779,18610,18802,19252,20120,0
"091 Helsinki","Yhteensä","20-24-vuotiaat","Naiset",23905,23958,23937,23984,23813,24126,24841,24870,25270,25892,26607,26685,26855,26425,25667,25168,24346,23516,23030,22751,22915,23709,24285,24489
"091 Helsinki","Yhteensä","25-29-vuotiaat","Yhteensä",49842,51726,52711,53319,53173,53024,55533,56420,56686,56909,57191,58185,59573,60796,62531,64017,63662,63131,61831,59799,58830,58405,0,0
